"Category","Version","Extension","SizeKB","Modified","Name","RelativePath"
"00_未分类参考资料","MVP 0.3",".md","4.3","2026-02-08 08:35","MANIFEST_MVP0.3.md","MANIFEST_MVP0.3.md"
"00_未分类参考资料","MVP 0.3",".md","7.8","2026-02-08 08:34","README_MVP0.3.md","README_MVP0.3.md"
"00_未分类参考资料","MVP 0.4.5",".docx","17.6","2026-02-15 13:36","MVP 0.4.5 人口阶段开发思路.docx","MVP 0.4.5 人口阶段开发思路.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","25.2","2026-02-17 11:57","01 EOR_MVP045_整改项目计划书.docx","MVP 045整改项目文档\01 项目管理文档\01 EOR_MVP045_整改项目计划书.docx"
"00_未分类参考资料","MVP 0.4.5",".txt","8.5","2026-02-17 12:48","PM to KIMI指令集.txt","MVP 045整改项目文档\01 项目管理文档\PM to KIMI指令集.txt"
"00_未分类参考资料","MVP 0.4.5",".png","391.4","2026-02-18 19:51","交流纪要.png","MVP 045整改项目文档\01 项目管理文档\交流纪要.png"
"00_未分类参考资料","MVP 0.4.5",".txt","169.7","2026-02-17 18:23","版本变更 vs 基线MVP0.4.5.txt","MVP 045整改项目文档\03 程序开发文档\1-3\版本变更 vs 基线MVP0.4.5.txt"
"00_未分类参考资料","MVP 0.4.5",".txt","10.7","2026-02-17 20:41","指令4 报告.txt","MVP 045整改项目文档\03 程序开发文档\4.0 收入阶段迁移\指令4 报告.txt"
"00_未分类参考资料","MVP 0.4.5",".docx","6.4","2026-02-21 09:54","EOR项目整改协作交流 - 我的发言（提示词）汇总.docx","MVP 045整改项目文档\EOR项目整改协作交流 - 我的发言（提示词）汇总.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","28.9","2026-02-17 11:48","Eagle of Rome MVP 0.4.5 代码整改意见书（Final v2）.docx","MVP 045整改项目文档\整改方案建议\Eagle of Rome MVP 0.4.5 代码整改意见书（Final v2）.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","22.4","2026-02-17 11:44","EOR 项目文档包任务书.docx","MVP 045整改项目文档\整改方案建议\EOR 项目文档包任务书.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","18.8","2026-02-17 10:21","DS 罗马鹰旗（EOR）项目代码优化意见书.docx","MVP 045整改项目文档\整改方案建议\草稿\DS 罗马鹰旗（EOR）项目代码优化意见书.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","28.4","2026-02-17 10:46","KIMI 罗马鹰旗（EOR）项目代码优化意见书 （优化版）.docx","MVP 045整改项目文档\整改方案建议\草稿\KIMI 罗马鹰旗（EOR）项目代码优化意见书 （优化版）.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","25.9","2026-02-17 10:33","KIMI 罗马鹰旗（EOR）项目代码优化意见书.docx","MVP 045整改项目文档\整改方案建议\草稿\KIMI 罗马鹰旗（EOR）项目代码优化意见书.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","30.1","2026-02-17 10:54","同行（DeepSeek+豆包）评审意见汇总.docx","MVP 045整改项目文档\整改方案建议\草稿\同行（DeepSeek+豆包）评审意见汇总.docx"
"00_未分类参考资料","MVP 0.4.5",".docx","11.8","2026-02-17 10:20","豆包-罗马鹰旗（EOR）MVP 0.4.5 版本代码整改意见书.docx","MVP 045整改项目文档\整改方案建议\草稿\豆包-罗马鹰旗（EOR）MVP 0.4.5 版本代码整改意见书.docx"
"00_未分类参考资料","MVP 0.4.6",".docx","19","2026-03-28 21:05","提示词模板.docx","MVP 046功能基线文档\提示词模板.docx"
"00_未分类参考资料","MVP 0.7 相关历史",".docx","23.6","2026-03-20 16:51","MVP 0.7 核心代码文件清单.docx","MVP 046功能基线文档\MVP 0.7 核心代码文件清单.docx"
"00_未分类参考资料","未标明版本",".docx","24.2","2026-02-18 21:55","罗马鹰旗EOR 核心数据说明书.docx","罗马鹰旗EOR 核心数据说明书.docx"
